Year,Inida,China,EU27,USA
1959,101.447256,720.152,1940.609764,2831.923117
1960,111.325054,798.8,2099.977654,2897.31526
1961,120.404276,570.63,2199.645741,2886.8727
1962,132.581537,459.618,2354.606542,2993.902031
1963,142.444142,456.779,2512.898835,3126.48747
1964,139.488262,460.637,2644.228332,3264.313805
1965,153.70194,500.286,2677.125728,3399.546756
1966,159.373403,549.459,2758.658492,3571.421314
1967,159.555839,460.226,2820.350506,3705.460953
1968,174.069336,495.507,2993.590163,3840.919556
1969,177.413357,607.683,3192.298841,4035.14534
1970,181.722645,807.953,3331.786688,4339.686007
1971,191.963685,909.21,3425.789932,4365.465254
1972,203.035983,968.646,3556.001568,4573.015379
1973,209.095041,1008.293,3729.276819,4785.433993
1974,215.853181,1028.1,3710.173279,4621.418771
1975,234.209123,1183.215,3637.36094,4478.562949
1976,244.749367,1226.421,3913.002402,4748.111413
1977,258.961733,1340.831,3874.640836,4889.953301
1978,263.149555,1492.778,4005.136633,4941.708664
1979,276.28474,1525.661,4114.610196,5008.955779
1980,291.711099,1494.496,4079.016943,4808.877356
1981,314.966187,1476.488,3864.920086,4686.743198
1982,325.38001,1606.585,3772.962573,4447.601938
1983,352.198846,1694.217,3730.055865,4429.711051
1984,361.559433,1844.828,3765.173009,4662.488491
1985,397.592115,1998.083,3823.161737,4652.937989
1986,426.309388,2104.213,3808.467963,4663.711645
1987,455.343053,2257.739,3841.070718,4826.012651
1988,491.692171,2425.894,3802.716346,5050.858381
1989,540.651037,2463.654,3839.695102,5132.543279
1990,577.996047,2484.855,3870.108069,5120.957207
1991,615.364981,2606.096,3804.398343,5062.956718
1992,655.447016,2730.788,3677.507145,5174.227507
1993,677.299236,2921.651,3607.869002,5272.850808
1994,714.063726,3103.739,3589.193349,5364.279285
1995,760.461621,3361.637,3635.527662,5425.259696
1996,823.620641,3508.818,3720.305978,5612.982752
1997,858.011189,3515.594,3653.909368,5688.142511
1998,875.77234,3364.588,3644.298458,5733.28055
1999,960.762922,3557.275,3588.96157,5803.917834
2000,986.444617,3649.227,3600.211561,6010.135928
2001,1000.526711,3728.51,3656.920989,5907.739935
2002,1032.139757,4103.046,3657.653365,5946.308145
2003,1067.736974,4841.119,3736.44201,6010.145463
2004,1133.827603,5217.351,3743.809708,6112.654584
2005,1194.592413,5882.106,3735.484569,6132.18327
2006,1292.484616,6494.331,3752.486685,6052.686215
2007,1392.506008,6983.547,3702.451811,6130.12276
2008,1489.437503,7501.498,3625.925502,5915.118465
2009,1612.216339,7891.078,3330.550838,5480.725731
2010,1677.337196,8620.576,3424.056364,5679.715249
2011,1764.712419,9532.332,3326.833892,5546.116067
2012,1925.699719,9779.292,3257.576132,5344.08598
2013,1995.098111,9956.329,3175.109732,5480.156537
2014,2148.343714,9990.257,3038.410299,5528.681067
2015,2234.219517,9863.457,3094.753598,5376.473125
2016,2354.657978,9762.714,3093.282289,5252.932175
2017,2426.606902,10006.343,3117.226045,5212.162345
2018,2593.057867,10332.992,3049.867929,5377.797353
2019,2612.888038,10713.985,2904.707798,5262.145074
2020,2421.552261,10905.693,2627.391733,4714.628032
2021,2674.221911,11447.913,2801.14405,5032.212819
2022,2831.166261,11350.538,2740.077797,5078.871323
2023,3062.32449,11902.503,2510.621996,4911.391017
2024,3211.433133,11957.216,2421.666503,4895.661477
